route; type_of_day; information; times
315;WEEKDAY;None;{'Ponta Delgada': '12h35', 'São Roque': '12h40', 'Praia do Pópulo': '12h45', 'Lagoa': '12h55', 'Água de Pau': '13h10', 'Vila Franca': '13h25'}
315;WEEKDAY;None;{'Ponta Delgada': '15h00', 'São Roque': '15h05', 'Livramento': '15h10', 'Lagoa': '15h20', 'Água de Pau': '15h35', 'Vila Franca': '15h50'}
315;WEEKDAY;None;{'Ponta Delgada': '17h40', 'São Roque': '17h45', 'Praia do Pópulo': '17h50', 'Lagoa': '18h00', 'Água de Pau': '18h15', 'Vila Franca': '18h30'}
315;WEEKDAY;None;{'Ponta Delgada': '19h00', 'São Roque': '19h05', 'Praia do Pópulo': '19h10', 'Lagoa': '19h20', 'Água de Pau': '19h35', 'Vila Franca': '19h50'}
315;WEEKDAY;None;{'Vila Franca': '06h30', 'Água de Pau': '06h45', 'Lagoa': '07h00', 'Livramento': '07h10', 'São Roque': '07h15', 'Ponta Delgada': '07h20'}
315;WEEKDAY;None;{'Vila Franca': '07h20', 'Água de Pau': '07h35', 'Lagoa': '07h50', 'Praia do Pópulo': '08h00', 'São Roque': '08h05', 'Ponta Delgada': '08h10'}
315;WEEKDAY;None;{'Vila Franca': '08h00', 'Água de Pau': '08h15', 'Lagoa': '08h30', 'Praia do Pópulo': '08h40', 'São Roque': '08h45', 'Ponta Delgada': '08h50'}
315;WEEKDAY;None;{'Vila Franca': '09h00', 'Água de Pau': '09h15', 'Lagoa': '09h30', 'Praia do Pópulo': '09h40', 'São Roque': '09h45', 'Ponta Delgada': '09h50'}
315;WEEKDAY;None;{'Vila Franca': '09h50', 'Água de Pau': '10h05', 'Lagoa': '10h20', 'Praia do Pópulo': '10h30', 'São Roque': '10h35', 'Ponta Delgada': '10h40'}
315;WEEKDAY;None;{'Vila Franca': '13h00', 'Água de Pau': '13h15', 'Lagoa': '13h30', 'Praia do Pópulo': '13h40', 'São Roque': '13h45', 'Ponta Delgada': '13h50'}
