id; stop; times; type_of_day; information
218-07h45;218;{'Ponta Delgada': '07h45', 'Ponta Delgada - Hospital': '07h57', 'Teatro Novo': '08h16', 'Capelas - Rossio': '08h21', 'Santo António - Igreja': '08h27', 'Santo António - Moagem': '08h30'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-12h00;218;{'Ponta Delgada': '12h00', 'Fajã de Cima': '12h18', 'Teatro Novo': '12h31', 'Capelas - Rossio': '12h36', 'Santo António - Igreja': '12h42', 'Santo António - Moagem': '12h45'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-14h00;218;{'Ponta Delgada': '14h00', 'Fajã de Cima': '14h18', 'Teatro Novo': '14h31', 'Capelas - Rossio': '14h36', 'Santo António - Igreja': '14h42', 'Santo António - Moagem': '14h45'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-16h15;218;{'Ponta Delgada': '16h15', 'Fajã de Cima': '16h33', 'Teatro Novo': '16h46', 'Capelas - Rossio': '16h51', 'Santo António - Igreja': '16h57', 'Santo António - Moagem': '17h00'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-17h30;218;{'Ponta Delgada': '17h30', 'Ponta Delgada - Hospital': '17h42', 'Fajã de Cima': '17h51', 'Teatro Novo': '18h04', 'Capelas - Rossio': '18h09', 'Santo António - Igreja': '18h16', 'Santo António - Moagem': '18h19', 'Santa Bárbara - Cavalo Branco': '18h21', 'Remédios': '18h25'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
218-18h20;218;{'Ponta Delgada': '18h20', 'Fajã de Cima': '18h38', 'Teatro Novo': '18h51', 'Capelas - Rossio': '18h56', 'Santo António - Igreja': '19h02', 'Santo António - Moagem': '19h05'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
212-07h00;212;{'Grota do Morro': '07h00', 'Capelas - Rossio': '07h03', 'Capelas - Navio': '07h04', 'São Vicente - Igreja': '07h10', 'Fajã de Cima': '07h22', 'Ponta Delgada - Hospital': '07h31', 'Ponta Delgada': '07h42'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
212-08h55;212;{'Grota do Morro': '08h55', 'Capelas - Rossio': '08h58', 'Capelas - Navio': '08h59', 'São Vicente - Igreja': '09h05', 'Fajã de Cima': '09h17', 'Ponta Delgada - Hospital': '09h26', 'Ponta Delgada': '09h37'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
212-12h10;212;{'Santo António - Moagem': '12h10', 'Grota do Morro': '12h30', 'Capelas - Rossio': '12h33', 'Capelas - Navio': '12h34', 'São Vicente - Igreja': '12h40', 'Fajã de Cima': '12h52', 'Ponta Delgada - Hospital': '13h01', 'Ponta Delgada': '13h12'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
212-18h00;212;{'Grota do Morro': '18h00', 'Capelas - Rossio': '18h03', 'Capelas - Navio': '18h04', 'São Vicente - Igreja': '18h10', 'Fajã de Cima': '18h22', 'Ponta Delgada': '18h37'};WEEKDAY;{'pt': "Passagem em 'Capelas - Rossio' junto à escola", 'en': "Bus Stop in 'Capelas - Rossio' near the School", 'es': "Parada de autobús en 'Capelas - Rossio' cerca de la escuela", 'fr': "Arrêt de bus à 'Capelas - Rossio' près de l'école", 'de': "Bushaltestelle in 'Capelas - Rossio' in der Nähe der Schule"}
